-1:113:[-24.00289421748631, 9.986975425354468e-16]
-1:114:[-30.873260284873613, 2.8075020977708392e-15]
-1:115:[-31.148770979019996, 1.644392649888748e-15]
-1:116:[-27.276336735329, 1.86276274297766e-15]
-1:117:[-20.40894223576896, 1.318478579990936e-15]
-1:118:[-13.833595961739524, 9.324331977459825e-16]
-1:119:[-13.92282496621297, 8.530679726805664e-16]
-1:120:[-16.51818105111535, 1.264993223137422e-15]
-1:121:[-17.86634056009384, 1.7163857206647899e-15]
-1:122:[-20.347801501947345, 1.3985609638611876e-15]
-1:123:[-15.778998059380962, 1.8536513636157773e-15]
-1:124:[-14.835932224156776, 7.782123440100808e-16]
-1:125:[-12.532462338255511, 1.3175981536381842e-15]
-1:126:[-13.13513985004906, 1.2541203267787191e-15]
-1:127:[-9.053091481993764, 1.0719700912153157e-15]
-1:128:[-13.733081481744385, 1.265217605466672e-15]
-1:129:[-9.124619538590254, 1.0903134772558106e-15]
-1:130:[-5.645528442690229, 2.230843410768659e-16]
-1:131:[-8.728480015043447, 8.897923409396852e-16]
-1:132:[-6.384306197562981, 6.553179656164505e-16]
-1:133:[-10.812209698063088, 6.341250218614594e-17]
-1:134:[-11.934644419119287, 9.236619620847538e-16]
-1:135:[-16.252172484723744, 9.960610843808803e-16]
-1:136:[-15.234556278985933, 7.858997427893968e-16]
-1:137:[-12.379230563006184, 8.196171896178793e-16]
-1:138:[-14.078604096368204, 5.20237499389929e-16]
-1:139:[-11.118694417103878, 1.3161537126852975e-15]
-1:140:[-5.978659071640658, 2.006618666800519e-16]
-1:141:[-3.32708192953437, 2.420049873960634e-16]
-1:142:[-5.709604196638899, 4.50695378778166e-16]
-1:143:[-12.308130557721892, 8.463912428601966e-16]
-1:144:[-18.33107489384079, 9.842976436439113e-16]
-1:145:[-12.319763661834026, 1.2792658826519085e-15]
-1:146:[-10.563253349660927, 3.979436867966695e-16]
-1:147:[-15.392493635751832, 1.4144358104996942e-15]
-1:148:[-17.55435638170301, 1.3392809990615732e-15]
-1:149:[-14.449579307103148, 1.2785443290969955e-15]
-1:150:[-10.326194140312275, 1.2884297771969346e-15]
-1:151:[-4.352338274220597, 2.4691470150563377e-16]
-1:152:[-0.08345931288452565, 1.0725324588447846e-17]
-1:153:[0.09252238309506908, -6.6325038079523984e-18]
-1:154:[-1.153264770694252, 8.524406435808459e-17]
-1:155:[1.420273649132928, -1.5747346116403353e-16]
-1:156:[5.717495628904833, -4.426014298961122e-16]
-1:157:[6.478566645724582, -6.144159430502482e-16]
-1:158:[4.711078780412118, -4.526637054712216e-16]
-1:159:[4.631041867547235, -3.4471341314898197e-16]
-1:160:[0.24051792136855216, -1.3030994156344772e-17]
-1:161:[-0.3605852670238053, 2.7363370561558918e-17]
-1:162:[-1.4681919470501825, 6.385072356623151e-17]
-1:163:[-4.21540631277691, 4.658141340491867e-16]
-1:164:[-4.888341205528595, 1.2361567052913912e-16]
-1:165:[-4.563928338997285, 1.9529220522490756e-16]
-1:166:[-0.2272467545954994, 1.3135909697514145e-17]
-1:167:[-0.12146900266729928, 1.4130287427726874e-17]
-1:168:[1.9431348109493853, -1.1463179816807952e-16]
-1:169:[8.817276458256826, -4.511349580618002e-16]
-1:170:[4.5612172919578455, -2.228920735523057e-16]
-1:171:[5.490787265722628, -4.910279061931624e-16]
-1:172:[4.37739176284128, -3.3426480725498844e-16]
-1:173:[3.1774483498266552, -3.143689389962253e-16]
-1:174:[7.908023745580449, -6.826991272072031e-16]
-1:175:[9.540320359288488, -8.56026013940307e-16]
-1:176:[-2.630665728999183, 2.0539116910760855e-16]
-1:177:[-7.996761317530033, 4.435842314056277e-16]
-1:178:[-3.958022349416212, 1.2273900422738093e-16]
-1:179:[-7.957316332418761, 2.620890797449618e-16]
-1:180:[-10.04316986648682, 9.217790027047997e-16]
-1:181:[-13.009460380283306, 8.150603834231968e-16]
-1:182:[-16.552659261933897, 1.683232673625182e-15]
-1:183:[-17.007922724389022, 1.2336072099219346e-15]
-1:184:[-15.44241814376805, 4.1058422929040096e-16]
-1:185:[-8.876828232135416, 6.532436444573991e-16]
-1:186:[-2.437400901525152, 3.8232598623229863e-16]
-1:187:[-2.8000622882869397, 2.2533737397063435e-16]
-1:188:[1.6280997640300239, -1.6255326265395927e-16]
-1:189:[8.109642574335494, -4.1627252058281566e-16]
-1:190:[13.283421898897345, -7.773059609595384e-16]
-1:191:[11.176464467204836, -7.916278782226701e-16]
-1:192:[9.565432421187635, -1.3127207730956537e-15]
-1:193:[7.870760615462493, -7.214774306129047e-16]
-1:194:[1.6346608267672507, -1.0563762962921892e-16]
-1:195:[0.436601054652126, -4.016175626163523e-17]
-1:196:[2.440813580345944, -1.109941157793433e-16]
-1:197:[-1.3716159888334472, 1.6589052276117018e-16]
-1:198:[-0.06210226220873221, 3.764710994913569e-18]
-1:199:[-1.6448099745527078, 1.152121454201747e-16]
-1:200:[-7.513242338685321, 8.406682234846671e-16]
-1:201:[-6.6321432458821965, 2.4248653253206843e-16]
-1:202:[-16.021454595599497, 1.713719026096026e-15]
-1:203:[-10.766949448942183, 3.905466796967808e-16]
-1:204:[-13.561062334851167, 1.3351198386896491e-15]
-1:205:[-8.206488594010043, 4.982628429106311e-16]
-1:206:[-7.005250131431903, 6.13522771930037e-16]
-1:207:[-1.504912579844517, 1.1029618407757196e-16]
-1:208:[5.528556404145781, -8.377747209082157e-16]
-1:209:[8.936307969083627, -2.379189821673413e-16]
-1:210:[9.942561553210634, -1.1231931683857291e-15]
-1:211:[9.981249935088362, -1.2771554200340583e-15]
-1:212:[5.156893552170772, -2.0040297645368716e-16]
-1:213:[-10.259244687486188, 9.512786038498102e-16]
-1:214:[-9.659327457746372, 1.1334237401414283e-15]
-1:215:[-3.0332348678709673, 3.1059726143496556e-16]
-1:216:[-3.1355585228688096, 3.416271637341175e-16]
-1:217:[2.5990140118564744, -2.4188079744481894e-17]
-1:218:[9.272287400417275, -6.307481321872333e-16]
-1:219:[13.838699434646372, -1.3318707661888638e-15]
-1:220:[19.95256648361976, -8.894827865333745e-16]
-1:221:[26.3760199789231, -2.829566267870712e-15]
-1:222:[33.245648524591516, -2.7508204946139227e-15]
-1:223:[36.9345443395693, -3.55780920610639e-15]
-1:224:[30.017357544535404, -2.601516262750335e-15]
-1:225:[14.089605614846429, -1.692221181120309e-15]
-1:226:[7.481924192564347, -4.3988559272610887e-16]
-1:227:[2.901976579384828, -5.560021374201941e-18]
-1:228:[9.093715453671182, -3.998804851494229e-16]
-1:229:[10.145033265335089, -1.1143491289477481e-15]
-1:230:[13.910255457266738, -8.512707627537699e-16]
-1:231:[14.306814509227815, -4.570078194832612e-16]
-1:232:[8.432618179260924, -1.1216950963059367e-15]
-1:233:[6.111074842408757, -3.959418482672419e-16]
-1:234:[7.282788023139283, -4.777869682501605e-16]
-1:235:[8.951618068849598, -2.2589140334350545e-16]
-1:236:[7.748106541201592, -6.206977431630117e-16]
-1:237:[11.372614147414973, -8.991613713394913e-16]
-1:238:[9.416846574513226, -4.396647338475027e-16]
-1:239:[13.696340344177903, -9.887394142455761e-16]
-1:240:[18.341585351567982, -2.2270152708379033e-15]
-1:241:[13.236879548419953, -1.8460562602355e-15]
-1:242:[8.354350782059496, -4.971751598043459e-16]
-1:243:[9.165991468528754, -1.0641021428396015e-15]
-1:244:[8.685295740933975, -6.975316582966753e-16]
-1:245:[7.0230848465595885, -2.1245478658439928e-16]
-1:246:[13.873295072638099, -1.2292028135241969e-15]
-1:247:[13.783107353842478, -1.8629008200955246e-15]
-1:248:[19.44620542576168, -9.809568642391033e-16]
-1:249:[24.214897106697435, -2.8138950657483193e-15]
-1:250:[26.721369935152904, -9.527060307945304e-16]
-1:251:[26.497281518064007, -2.5716975584848333e-15]
-1:252:[23.938966684720466, -2.6818657077896266e-15]
-1:253:[24.043687639386217, -2.5614351487244783e-15]
-1:254:[23.7219418455911, -8.316600087847652e-16]
-1:255:[26.17319006672734, -2.5875087483020455e-15]
-1:256:[-2.8064138424076117, 3.0587356760783603e-16]
-1:257:[-1.0546305557575295, 1.3373298897783472e-16]
-1:258:[-12.703090819125931, 8.451456726992757e-16]
-1:259:[-9.054809462139678, 4.446550756600413e-16]
-1:260:[-10.482471840570765, 8.800601112123073e-16]
-1:261:[-14.995804574835065, 1.347867183353094e-15]
